Student_ID,Student_Name,Age,Education_Level,Course,Semester,Registered_Subjects,Learning_Goal
S00406,Madison Weber,20,Undergraduate,MBBS,Year 5,Anatomy; Physiology; Biochemistry; Pathology; Pharmacology; Microbiology; Forensic Medicine,Skill Building
S00407,Lori Hernandez,17,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,College Admission Prep
S00408,Jeremy Turner,16,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Certification Prep
S00409,Anthony Romero,18,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Research Preparation
S00410,Jesse Brown,13,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,Concept Mastery
S00411,Angela Lin,16,Diploma,Diploma in Mechanical Engineering,Semester 5,Engineering Mechanics; Thermodynamics; Machine Design; Manufacturing Processes; Strength of Materials; Fluid Mechanics,Skill Building
S00412,Lisa Hunter,13,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,Certification Prep
S00413,Julian Conner,14,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,Exam Preparation
S00414,Joanna Pacheco,16,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,College Admission Prep
S00415,Erica Alvarez,18,Diploma,Diploma in Computer Science,Semester 1,Programming Fundamentals; Data Structures; DBMS; Web Development; Computer Networks; Operating Systems,Revision & Practice
S00416,Antonio Garcia,14,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,Skill Building
S00417,Gwendolyn Klein,16,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Career Growth
S00418,Carrie Wright,23,Undergraduate,LLB,Year 2,Constitutional Law; Criminal Law; Contract Law; Law of Torts; Jurisprudence; Family Law,College Admission Prep
S00419,Jeffrey Mills,19,Undergraduate,BTech Civil Engineering,Semester 8,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Exam Preparation
S00420,Jake Campbell,15,Grade 6-12,Grade 10,Annual,Mathematics; Science; English; Social Science; Computer Basics,Competitive Exam Prep
S00421,George Harper,13,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,Career Growth
S00422,Maria Jones,18,Diploma,Diploma in Computer Science,Semester 4,Programming Fundamentals; Data Structures; DBMS; Web Development; Computer Networks; Operating Systems,Exam Preparation
S00423,Michael Mitchell,16,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Concept Mastery
S00424,Mary Escobar,18,Undergraduate,BTech Computer Science,Semester 3,OOP; DBMS; Operating Systems; Computer Networks; Data Structures; Algorithms; Software Engineering; Web Technologies,Skill Building
S00425,Felicia Aguilar,17,Grade 6-12,Grade 11 - Arts,Annual,History; Political Science; Geography; Sociology; English,Grade Improvement
S00426,Gregory Ponce,16,Diploma,Diploma in Mechanical Engineering,Semester 2,Engineering Mechanics; Thermodynamics; Machine Design; Manufacturing Processes; Strength of Materials; Fluid Mechanics,Grade Improvement
S00427,Jenna Larson,23,Undergraduate,BTech Civil Engineering,Semester 7,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Research Preparation
S00428,Emily Bennett,16,Diploma,Diploma in Electronics Engineering,Semester 6,Circuit Theory; Digital Electronics; Microprocessors; Communication Systems; Electronic Devices; Control Systems,Competitive Exam Prep
S00429,Robin Santiago,17,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Competitive Exam Prep
S00430,Nancy Jennings,15,Diploma,Diploma in Civil Engineering,Semester 3,Surveying; Structural Analysis; Building Materials; Concrete Technology; Geotechnical Engineering; Transportation Engineering,Skill Building
S00431,Maria Henderson,19,Undergraduate,BTech Civil Engineering,Semester 6,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Exam Preparation
S00432,Jack White,15,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Competitive Exam Prep
S00433,Travis Tucker,19,Diploma,Diploma in Computer Science,Semester 3,Programming Fundamentals; Data Structures; DBMS; Web Development; Computer Networks; Operating Systems,Grade Improvement
S00434,Chad Jones,20,Undergraduate,BTech Civil Engineering,Semester 3,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Research Preparation
S00435,Ashley Wise,17,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Revision & Practice
S00436,Sophia Johnson,16,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Competitive Exam Prep
S00437,Ralph Anderson,23,Undergraduate,BTech Electronics,Semester 7,Digital Signal Processing; Microprocessors; VLSI Design; Communication Systems; Control Systems; Embedded Systems,Certification Prep
S00438,Christopher Guerra,20,Undergraduate,BTech Artificial Intelligence,Semester 6,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,Grade Improvement
S00439,Rhonda Martin,22,Undergraduate,BTech Electronics,Semester 2,Digital Signal Processing; Microprocessors; VLSI Design; Communication Systems; Control Systems; Embedded Systems,Research Preparation
S00440,Jason Rhodes,16,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Competitive Exam Prep
S00441,Jeremy Mitchell,28,Postgraduate,MSc,Semester 1,Advanced Physics; Advanced Chemistry; Advanced Mathematics; Advanced Biology,Career Growth
S00442,Joann Ferguson,17,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,College Admission Prep
S00443,Robert Harrison,16,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Exam Preparation
S00444,Holly Valentine,18,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,Revision & Practice
S00445,Mrs. Diane Reyes,28,Postgraduate,LLM,Semester 2,Advanced Constitutional Law; International Law; Corporate Law; Human Rights Law,Grade Improvement
S00446,Tracy Montoya,17,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Career Growth
S00447,Brenda Wright,11,Grade 6-12,Grade 6,Annual,Mathematics; Science; English; Social Science; Hindi,Skill Building
S00448,Shelly Spencer,12,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,Career Growth
S00449,Ryan Rosales,20,Undergraduate,BTech Electronics,Semester 6,Digital Signal Processing; Microprocessors; VLSI Design; Communication Systems; Control Systems; Embedded Systems,Concept Mastery
S00450,Phillip Nelson,26,Postgraduate,MTech Artificial Intelligence,Semester 4,Deep Learning; Reinforcement Learning; Advanced Natural Language Processing; Advanced Computer Vision; Advanced Machine Learning,College Admission Prep
S00451,Brittany Kim,17,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Revision & Practice
S00452,Courtney Hayes,24,Postgraduate,MBA,Semester 4,Strategic Management; Financial Management; Marketing Management; Human Resource Management; Operations Management,Certification Prep
S00453,Alexander Brown,11,Grade 6-12,Grade 6,Annual,Mathematics; Science; English; Social Science; Hindi,Research Preparation
S00454,Cynthia Vang,19,Undergraduate,BTech Artificial Intelligence,Semester 4,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,Exam Preparation
S00455,Alfred Galvan,21,Undergraduate,BSc Science,Semester 1,Physics; Chemistry; Mathematics; Botany; Zoology,Skill Building
S00456,Marie Moody,17,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Grade Improvement
S00457,Dustin Gallegos,20,Undergraduate,MBBS,Year 3,Anatomy; Physiology; Biochemistry; Pathology; Pharmacology; Microbiology; Forensic Medicine,Exam Preparation
S00458,Brenda Thornton,17,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Certification Prep
S00459,Aaron Miller,24,Postgraduate,MD,Year 3,Advanced Pathology; Clinical Medicine; Surgery; Radiology; Advanced Pharmacology,Certification Prep
S00460,Ruben Dunn,22,Undergraduate,BSc Science,Semester 5,Physics; Chemistry; Mathematics; Botany; Zoology,Competitive Exam Prep
S00461,Kelsey Rodriguez,20,Undergraduate,BCom,Semester 6,Financial Accounting; Business Law; Economics; Taxation; Auditing; Cost Accounting,Revision & Practice
S00462,Eric Williams,18,Undergraduate,BTech Artificial Intelligence,Semester 2,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,Competitive Exam Prep
S00463,Riley Bryant,23,Undergraduate,LLB,Year 1,Constitutional Law; Criminal Law; Contract Law; Law of Torts; Jurisprudence; Family Law,Concept Mastery
S00464,Taylor Carlson,18,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Certification Prep
S00465,Jose Allen,18,Undergraduate,BTech Civil Engineering,Semester 7,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Revision & Practice
S00466,Jeffrey Mendez,16,Grade 6-12,Grade 10,Annual,Mathematics; Science; English; Social Science; Computer Basics,College Admission Prep
S00467,Jason Beck,12,Grade 6-12,Grade 6,Annual,Mathematics; Science; English; Social Science; Hindi,Certification Prep
S00468,William Jones,16,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Exam Preparation
S00469,Katie Mcneil,18,Diploma,Diploma in Computer Science,Semester 6,Programming Fundamentals; Data Structures; DBMS; Web Development; Computer Networks; Operating Systems,Concept Mastery
S00470,Jeanette Harrison,17,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Skill Building
S00471,Veronica King,19,Undergraduate,BCom,Semester 5,Financial Accounting; Business Law; Economics; Taxation; Auditing; Cost Accounting,Competitive Exam Prep
S00472,Richard Cooper,18,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,College Admission Prep
S00473,Lori Ingram,21,Undergraduate,BTech Civil Engineering,Semester 7,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Competitive Exam Prep
S00474,Evelyn Williams,19,Undergraduate,MBBS,Year 1,Anatomy; Physiology; Biochemistry; Pathology; Pharmacology; Microbiology; Forensic Medicine,College Admission Prep
S00475,Robin Thompson,25,Undergraduate,LLB,Year 1,Constitutional Law; Criminal Law; Contract Law; Law of Torts; Jurisprudence; Family Law,Revision & Practice
S00476,Julie Dominguez,23,Postgraduate,MTech Computer Science,Semester 1,Advanced Algorithms; Distributed Systems; Cloud Computing; Advanced DBMS; Advanced Operating Systems,College Admission Prep
S00477,Robin Brown,18,Diploma,Diploma in Civil Engineering,Semester 3,Surveying; Structural Analysis; Building Materials; Concrete Technology; Geotechnical Engineering; Transportation Engineering,Grade Improvement
S00478,Judith Carter,27,Postgraduate,LLM,Semester 3,Advanced Constitutional Law; International Law; Corporate Law; Human Rights Law,Grade Improvement
S00479,Curtis Williams,22,Undergraduate,MBBS,Year 2,Anatomy; Physiology; Biochemistry; Pathology; Pharmacology; Microbiology; Forensic Medicine,Research Preparation
S00480,Kaylee Hays,23,Undergraduate,BTech Artificial Intelligence,Semester 3,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,Certification Prep
S00481,Dawn Mullins,17,Diploma,Diploma in Civil Engineering,Semester 4,Surveying; Structural Analysis; Building Materials; Concrete Technology; Geotechnical Engineering; Transportation Engineering,Certification Prep
S00482,Howard Norman,21,Undergraduate,BCom,Semester 2,Financial Accounting; Business Law; Economics; Taxation; Auditing; Cost Accounting,Grade Improvement
S00483,Evelyn Martinez,15,Grade 6-12,Grade 10,Annual,Mathematics; Science; English; Social Science; Computer Basics,Grade Improvement
S00484,Steve Paul,18,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,Grade Improvement
S00485,Jasmine Beltran,16,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Revision & Practice
S00486,Jonathan Glass MD,21,Undergraduate,MBBS,Year 4,Anatomy; Physiology; Biochemistry; Pathology; Pharmacology; Microbiology; Forensic Medicine,Revision & Practice
S00487,Monica Miller,21,Undergraduate,LLB,Year 1,Constitutional Law; Criminal Law; Contract Law; Law of Torts; Jurisprudence; Family Law,Certification Prep
S00488,Samantha Gardner,16,Grade 6-12,Grade 10,Annual,Mathematics; Science; English; Social Science; Computer Basics,Grade Improvement
S00489,Bobby Guerrero,22,Undergraduate,BCom,Semester 4,Financial Accounting; Business Law; Economics; Taxation; Auditing; Cost Accounting,Exam Preparation
S00490,Lance Simmons,14,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,Certification Prep
S00491,Heather Williams,21,Undergraduate,BTech Civil Engineering,Semester 6,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Revision & Practice
S00492,Heather Bolton,19,Diploma,Diploma in Electronics Engineering,Semester 5,Circuit Theory; Digital Electronics; Microprocessors; Communication Systems; Electronic Devices; Control Systems,Concept Mastery
S00493,William Gould,21,Undergraduate,LLB,Year 3,Constitutional Law; Criminal Law; Contract Law; Law of Torts; Jurisprudence; Family Law,Research Preparation
S00494,Mark Cox,17,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,Research Preparation
S00495,Meghan Cisneros,13,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,Revision & Practice
S00496,Lawrence Harrington,28,Postgraduate,LLM,Semester 4,Advanced Constitutional Law; International Law; Corporate Law; Human Rights Law,Competitive Exam Prep
S00497,Austin Osborne,28,Postgraduate,LLM,Semester 2,Advanced Constitutional Law; International Law; Corporate Law; Human Rights Law,Exam Preparation
S00498,James Bradley,21,Undergraduate,BTech Electronics,Semester 3,Digital Signal Processing; Microprocessors; VLSI Design; Communication Systems; Control Systems; Embedded Systems,Exam Preparation
S00499,Meghan Rush,21,Undergraduate,LLB,Year 3,Constitutional Law; Criminal Law; Contract Law; Law of Torts; Jurisprudence; Family Law,Career Growth
S00500,Phillip Berry,17,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Certification Prep
S00501,Jennifer Banks,23,Undergraduate,BTech Computer Science,Semester 7,OOP; DBMS; Operating Systems; Computer Networks; Data Structures; Algorithms; Software Engineering; Web Technologies,Career Growth
S00502,Brian Fitzgerald,18,Undergraduate,BTech Electronics,Semester 7,Digital Signal Processing; Microprocessors; VLSI Design; Communication Systems; Control Systems; Embedded Systems,Career Growth
S00503,Mr. Justin Green III,16,Grade 6-12,Grade 10,Annual,Mathematics; Science; English; Social Science; Computer Basics,Grade Improvement
S00504,Zachary Mitchell,14,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Exam Preparation
S00505,Katherine Martinez,17,Grade 6-12,Grade 11 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Skill Building
S00506,Jodi Roach,21,Undergraduate,BSc Science,Semester 4,Physics; Chemistry; Mathematics; Botany; Zoology,College Admission Prep
S00507,Brandon Fleming,17,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Concept Mastery
S00508,Emma Reed,21,Undergraduate,MBBS,Year 2,Anatomy; Physiology; Biochemistry; Pathology; Pharmacology; Microbiology; Forensic Medicine,Certification Prep
S00509,Joshua Vance,17,Grade 6-12,Grade 11 - Arts,Annual,History; Political Science; Geography; Sociology; English,Grade Improvement
S00510,Michelle Ho,25,Postgraduate,MD,Year 1,Advanced Pathology; Clinical Medicine; Surgery; Radiology; Advanced Pharmacology,College Admission Prep
S00511,Rebecca Hicks,23,Postgraduate,MD,Year 3,Advanced Pathology; Clinical Medicine; Surgery; Radiology; Advanced Pharmacology,Competitive Exam Prep
S00512,Curtis Taylor,23,Undergraduate,BTech Civil Engineering,Semester 5,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Competitive Exam Prep
S00513,Allison Spencer,18,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Skill Building
S00514,Robert Arnold,28,Postgraduate,MD,Year 3,Advanced Pathology; Clinical Medicine; Surgery; Radiology; Advanced Pharmacology,Career Growth
S00515,Angelica Parker,27,Postgraduate,MSc,Semester 3,Advanced Physics; Advanced Chemistry; Advanced Mathematics; Advanced Biology,College Admission Prep
S00516,Dr. Kelly Hammond DVM,23,Undergraduate,BTech Mechanical Engineering,Semester 4,Thermodynamics; Fluid Mechanics; Machine Design; Manufacturing Processes; Strength of Materials; Heat Transfer,Concept Mastery
S00517,William Day,17,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,Concept Mastery
S00518,Michael Cooper,13,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,Research Preparation
S00519,Penny Bowman,16,Grade 6-12,Grade 10,Annual,Mathematics; Science; English; Social Science; Computer Basics,Competitive Exam Prep
S00520,Vincent Reynolds,18,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Research Preparation
S00521,Amy Martinez,17,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,Research Preparation
S00522,Christopher Morris,22,Undergraduate,BSc Science,Semester 4,Physics; Chemistry; Mathematics; Botany; Zoology,Concept Mastery
S00523,Hannah Everett,18,Undergraduate,MBBS,Year 4,Anatomy; Physiology; Biochemistry; Pathology; Pharmacology; Microbiology; Forensic Medicine,Research Preparation
S00524,Sarah King,15,Diploma,Diploma in Computer Science,Semester 6,Programming Fundamentals; Data Structures; DBMS; Web Development; Computer Networks; Operating Systems,Certification Prep
S00525,Krista Martinez,15,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Exam Preparation
S00526,Joseph Shaw,18,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,Grade Improvement
S00527,Todd Moore,26,Postgraduate,MBA,Semester 2,Strategic Management; Financial Management; Marketing Management; Human Resource Management; Operations Management,Certification Prep
S00528,Michelle Jacobs,27,Postgraduate,MTech Artificial Intelligence,Semester 2,Deep Learning; Reinforcement Learning; Advanced Natural Language Processing; Advanced Computer Vision; Advanced Machine Learning,College Admission Prep
S00529,Kristy Bryan,15,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Research Preparation
S00530,Angel May,13,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,Revision & Practice
S00531,Marilyn Wang,12,Grade 6-12,Grade 6,Annual,Mathematics; Science; English; Social Science; Hindi,Career Growth
S00532,Mark Jimenez,18,Undergraduate,BTech Computer Science,Semester 2,OOP; DBMS; Operating Systems; Computer Networks; Data Structures; Algorithms; Software Engineering; Web Technologies,Competitive Exam Prep
S00533,Donna Frye,23,Undergraduate,BTech Civil Engineering,Semester 3,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Certification Prep
S00534,Dr. Michael Evans,18,Undergraduate,BBA,Semester 1,Principles of Management; Marketing Management; Financial Accounting; Business Economics; Organizational Behavior; Business Statistics,Exam Preparation
S00535,Anthony Gonzales,18,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,Concept Mastery
S00536,Mr. Lawrence Edwards,28,Postgraduate,MTech Computer Science,Semester 3,Advanced Algorithms; Distributed Systems; Cloud Computing; Advanced DBMS; Advanced Operating Systems,Concept Mastery
S00537,Morgan Valencia,16,Grade 6-12,Grade 11 - Arts,Annual,History; Political Science; Geography; Sociology; English,Certification Prep
S00538,Bianca Wood,26,Postgraduate,MD,Year 2,Advanced Pathology; Clinical Medicine; Surgery; Radiology; Advanced Pharmacology,Skill Building
S00539,Emma Owens,22,Undergraduate,BSc Science,Semester 3,Physics; Chemistry; Mathematics; Botany; Zoology,Skill Building
S00540,David Davis,15,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Grade Improvement
S00541,James Gilbert,23,Undergraduate,LLB,Year 2,Constitutional Law; Criminal Law; Contract Law; Law of Torts; Jurisprudence; Family Law,Career Growth
S00542,Sean Moore,17,Grade 6-12,Grade 11 - Arts,Annual,History; Political Science; Geography; Sociology; English,Skill Building
S00543,Kenneth Edwards,30,Postgraduate,MD,Year 2,Advanced Pathology; Clinical Medicine; Surgery; Radiology; Advanced Pharmacology,Revision & Practice
S00544,Kathleen Robertson,15,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Certification Prep
S00545,Mr. Alexander Landry MD,13,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,Career Growth
S00546,Cindy Gomez,18,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,Grade Improvement
S00547,Johnny Khan,18,Undergraduate,BTech Computer Science,Semester 8,OOP; DBMS; Operating Systems; Computer Networks; Data Structures; Algorithms; Software Engineering; Web Technologies,College Admission Prep
S00548,Julie Herrera,23,Undergraduate,BTech Artificial Intelligence,Semester 3,Machine Learning; Deep Learning; Statistics; OOP; DBMS; Natural Language Processing; Computer Vision; Reinforcement Learning,Skill Building
S00549,Jessica Khan,27,Postgraduate,MD,Year 1,Advanced Pathology; Clinical Medicine; Surgery; Radiology; Advanced Pharmacology,Exam Preparation
S00550,Pamela Diaz,15,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Skill Building
S00551,Kelly Lee,13,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,College Admission Prep
S00552,Angel Gordon,15,Diploma,Diploma in Electronics Engineering,Semester 6,Circuit Theory; Digital Electronics; Microprocessors; Communication Systems; Electronic Devices; Control Systems,Career Growth
S00553,Diana Hays,20,Undergraduate,BTech Computer Science,Semester 7,OOP; DBMS; Operating Systems; Computer Networks; Data Structures; Algorithms; Software Engineering; Web Technologies,Research Preparation
S00554,Barbara Hester,18,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Revision & Practice
S00555,Robert Morgan,18,Diploma,Diploma in Mechanical Engineering,Semester 2,Engineering Mechanics; Thermodynamics; Machine Design; Manufacturing Processes; Strength of Materials; Fluid Mechanics,Concept Mastery
S00556,Nicole Gonzalez,13,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,Research Preparation
S00557,Kathryn Williams,19,Undergraduate,BBA,Semester 6,Principles of Management; Marketing Management; Financial Accounting; Business Economics; Organizational Behavior; Business Statistics,Concept Mastery
S00558,Gary Wells,13,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,Exam Preparation
S00559,Larry Robertson,28,Postgraduate,MD,Year 3,Advanced Pathology; Clinical Medicine; Surgery; Radiology; Advanced Pharmacology,Skill Building
S00560,Louis Martin,22,Undergraduate,BCom,Semester 5,Financial Accounting; Business Law; Economics; Taxation; Auditing; Cost Accounting,Exam Preparation
S00561,Nancy Evans MD,18,Grade 6-12,Grade 12 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Career Growth
S00562,Kim Erickson,19,Undergraduate,BSc Science,Semester 1,Physics; Chemistry; Mathematics; Botany; Zoology,Research Preparation
S00563,Robert Richardson,24,Undergraduate,MBBS,Year 3,Anatomy; Physiology; Biochemistry; Pathology; Pharmacology; Microbiology; Forensic Medicine,Career Growth
S00564,Veronica Silva,16,Grade 6-12,Grade 11 - Arts,Annual,History; Political Science; Geography; Sociology; English,Grade Improvement
S00565,Molly Watts,18,Grade 6-12,Grade 12 - Commerce,Annual,Accountancy; Business Studies; Economics; Mathematics; English,College Admission Prep
S00566,John Coffey,18,Diploma,Diploma in Electronics Engineering,Semester 4,Circuit Theory; Digital Electronics; Microprocessors; Communication Systems; Electronic Devices; Control Systems,Revision & Practice
S00567,Paula Lane,17,Diploma,Diploma in Electronics Engineering,Semester 2,Circuit Theory; Digital Electronics; Microprocessors; Communication Systems; Electronic Devices; Control Systems,Exam Preparation
S00568,Lauren Jackson,13,Grade 6-12,Grade 8,Annual,Mathematics; Science; English; Social Science; Hindi,College Admission Prep
S00569,Lisa Randall,23,Postgraduate,MSc,Semester 4,Advanced Physics; Advanced Chemistry; Advanced Mathematics; Advanced Biology,College Admission Prep
S00570,Michael Johnson,20,Undergraduate,BBA,Semester 5,Principles of Management; Marketing Management; Financial Accounting; Business Economics; Organizational Behavior; Business Statistics,Skill Building
S00571,Ashley Smith,18,Undergraduate,BBA,Semester 6,Principles of Management; Marketing Management; Financial Accounting; Business Economics; Organizational Behavior; Business Statistics,Certification Prep
S00572,Christian Vaughn,15,Grade 6-12,Grade 10,Annual,Mathematics; Science; English; Social Science; Computer Basics,Skill Building
S00573,Reginald Knapp,22,Undergraduate,BTech Civil Engineering,Semester 4,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Grade Improvement
S00574,Nancy Brown,17,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,Exam Preparation
S00575,Daniel Nguyen,22,Undergraduate,BTech Electronics,Semester 5,Digital Signal Processing; Microprocessors; VLSI Design; Communication Systems; Control Systems; Embedded Systems,Competitive Exam Prep
S00576,Kelly Edwards,18,Undergraduate,BCom,Semester 3,Financial Accounting; Business Law; Economics; Taxation; Auditing; Cost Accounting,Grade Improvement
S00577,Thomas Peterson,28,Postgraduate,MD,Year 3,Advanced Pathology; Clinical Medicine; Surgery; Radiology; Advanced Pharmacology,Revision & Practice
S00578,Raymond Le,17,Grade 6-12,Grade 12 - Arts,Annual,History; Political Science; Geography; Sociology; English,Grade Improvement
S00579,Melissa Bishop,15,Grade 6-12,Grade 9,Annual,Mathematics; Science; English; Social Science; Computer Basics,Career Growth
S00580,David Grant,22,Postgraduate,MBA,Semester 3,Strategic Management; Financial Management; Marketing Management; Human Resource Management; Operations Management,Skill Building
S00581,William Evans,16,Grade 6-12,Grade 11 - Arts,Annual,History; Political Science; Geography; Sociology; English,Exam Preparation
S00582,Daniel Bush,12,Grade 6-12,Grade 7,Annual,Mathematics; Science; English; Social Science; Hindi,Exam Preparation
S00583,Gregory Peck,17,Diploma,Diploma in Civil Engineering,Semester 4,Surveying; Structural Analysis; Building Materials; Concrete Technology; Geotechnical Engineering; Transportation Engineering,Grade Improvement
S00584,Denise Martinez,23,Undergraduate,BTech Civil Engineering,Semester 5,Structural Engineering; Geotechnical Engineering; Transportation Engineering; Surveying; Concrete Technology; Environmental Engineering,Career Growth
S00585,Jamie Baird,18,Undergraduate,BTech Electronics,Semester 1,Digital Signal Processing; Microprocessors; VLSI Design; Communication Systems; Control Systems; Embedded Systems,Revision & Practice
S00586,Tina Ballard,19,Undergraduate,MBBS,Year 2,Anatomy; Physiology; Biochemistry; Pathology; Pharmacology; Microbiology; Forensic Medicine,Concept Mastery
S00587,Dwayne Klein,16,Grade 6-12,Grade 11 - Science,Annual,Physics; Chemistry; Mathematics; Biology; English,Skill Building
S00588,Jeremy Scott,29,Postgraduate,LLM,Semester 1,Advanced Constitutional Law; International Law; Corporate Law; Human Rights Law,Competitive Exam Prep
S00589,Dale Ryan,23,Postgraduate,MTech Computer Science,Semester 2,Advanced Algorithms; Distributed Systems; Cloud Computing; Advanced DBMS; Advanced Operating Systems,College Admission Prep
